Sex,Equipment,Age,BodyweightKg,Best3SquatKg
1,0,42.0,70.0,135.0
1,0,43.0,98.4,173.0
1,0,39.0,93.8,135.0
1,0,37.0,106.9,140.0
0,0,31.0,69.3,153.0
0,0,35.0,91.0,170.0
0,0,23.0,119.5,215.0
0,0,29.0,135.0,140.0
1,0,36.0,84.0,60.0
0,0,14.0,62.0,85.0
1,0,54.0,53.0,75.0
0,0,16.0,85.0,110.0
1,0,51.0,84.0,90.0
1,0,49.0,64.0,107.0
0,0,49.0,77.0,140.0
0,0,43.0,94.0,195.0
0,0,32.0,94.0,193.0
1,0,22.5,69.5,120.0
1,0,34.5,62.7,151.0
1,0,23.5,62.5,105.0
1,0,25.5,69.2,115.0
1,0,30.5,76.3,145.0
1,0,34.0,108.3,152.0
0,0,21.0,102.1,210.0
0,0,29.0,95.7,250.0
0,0,30.0,116.3,220.0
0,0,26.0,117.7,240.0
1,0,44.0,63.0,100.0
1,0,41.5,76.9,100.0
1,2,44.0,57.8,110.0
1,0,46.0,99.9,185.0
0,0,43.0,81.5,202.0
0,0,45.0,104.0,195.0
0,0,51.0,102.4,185.0
0,0,50.5,116.8,145.0
0,0,63.5,91.1,175.0
0,0,21.0,86.9,180.0
0,0,25.0,78.3,190.0
0,0,16.5,81.6,175.0
0,0,16.0,81.2,170.0
0,0,14.5,90.0,157.0
1,0,51.0,65.8,85.0
1,0,25.0,51.1,115.0
1,0,17.0,63.4,156.0
0,0,22.0,82.7,190.0
0,0,22.0,142.5,280.0
0,0,41.0,123.3,150.0
1,0,41.0,83.0,115.0
0,0,22.5,81.6,175.0
0,0,17.0,81.0,140.0
1,0,34.0,62.0,140.0
1,0,30.5,81.0,67.0
0,0,29.0,131.9,255.0
1,0,30.5,57.8,85.0
1,0,17.5,91.66,122.0
0,0,21.5,91.3,185.0
1,0,48.0,70.05,90.0
1,0,40.0,104.2,135.0
0,0,26.0,73.8,200.0
0,0,28.0,84.8,235.0
0,0,24.0,75.7,183.0
0,0,43.0,83.1,186.0
0,0,19.0,78.8,166.0
0,0,68.0,77.0,140.0
0,0,83.0,68.3,120.0
0,0,68.0,96.3,140.0
0,0,80.0,80.5,72.0
1,0,47.0,64.2,105.0
1,0,28.0,57.8,147.0
1,0,31.0,129.8,228.0
1,0,27.0,52.5,140.0
1,0,22.0,57.1,122.0
1,0,39.0,80.7,155.0
1,0,45.0,99.0,186.0
1,0,23.0,63.7,120.0
1,0,48.0,99.9,155.0
1,0,33.0,107.6,160.0
1,0,55.0,54.1,91.0
1,0,52.0,78.0,127.0
1,0,38.0,71.6,131.0
1,0,43.0,63.2,110.0
1,0,54.0,136.6,171.0
1,0,20.0,114.0,160.0
1,0,60.0,67.8,100.0
1,0,46.0,55.7,77.0
1,0,60.0,62.0,77.0
0,0,37.0,119.3,210.0
0,0,35.0,128.6,343.0
0,0,28.0,132.3,320.0
0,0,24.0,153.9,345.0
0,0,23.0,143.6,345.0
0,0,36.0,92.1,205.0
0,0,29.0,119.0,237.0
0,0,29.0,134.3,255.0
0,0,47.0,131.3,272.0
0,0,20.0,168.9,280.0
0,0,55.0,119.5,267.0
0,0,63.0,88.2,200.0
0,0,56.0,90.8,193.0
0,0,44.0,91.5,210.0
0,0,25.0,117.4,227.0
0,0,23.0,101.7,175.0
0,0,57.0,99.8,192.0
0,0,44.0,101.6,180.0
0,0,15.0,101.5,151.0
1,0,26.0,70.6,125.0
1,0,29.0,70.5,112.0
1,0,37.0,89.3,135.0
1,0,28.0,81.8,140.0
1,0,24.0,62.3,100.0
1,0,17.0,66.9,96.0
1,0,24.0,71.5,115.0
1,0,58.0,82.0,115.0
0,0,27.0,75.4,207.0
0,0,27.0,103.6,260.0
0,0,30.0,98.7,235.0
0,0,44.0,82.2,190.0
0,0,41.0,112.3,200.0
0,0,46.0,93.3,220.0
0,0,31.0,81.6,180.0
0,0,26.0,118.4,235.0
0,0,46.0,103.5,201.0
0,0,18.0,76.5,160.0
1,2,45.0,82.8,185.0
0,2,27.5,116.72,280.0
0,0,34.0,109.14,280.0
0,2,34.0,96.4,250.0
0,0,28.5,110.94,295.0
1,0,29.0,127.76,200.0
0,0,29.0,119.9,265.0
1,0,43.0,80.64,145.0
0,2,57.0,137.6,285.0
1,0,42.0,69.84,142.0
0,0,45.0,118.56,230.0
1,0,22.0,82.72,140.0
0,0,33.5,127.3,225.0
1,0,27.0,87.86,163.0
1,0,39.0,94.72,140.0
0,0,32.5,91.6,185.0
1,0,38.0,112.86,140.0
0,0,23.0,118.52,230.0
1,0,50.0,79.1,120.0
1,0,53.0,132.34,170.0
0,0,35.5,90.42,165.0
0,0,24.5,75.76,161.0
0,2,30.0,61.24,147.0
1,0,19.0,76.22,115.0
0,0,54.0,101.0,175.0
1,0,25.0,82.4,97.0
0,0,30.0,97.2,160.0
0,0,60.0,119.5,165.0
0,0,16.5,75.7,145.0
0,0,16.0,85.0,193.0
0,0,16.5,85.0,135.0
1,0,16.5,69.6,90.0
1,0,35.5,146.15,150.0
1,0,47.0,100.0,30.0
1,0,50.5,84.0,75.0
1,0,41.0,58.0,92.0
0,0,41.5,94.0,235.0
1,0,40.0,72.0,77.0
1,0,43.0,63.0,100.0
1,0,35.0,84.0,125.0
0,0,44.0,94.7,167.0
0,0,23.0,74.4,172.0
0,0,43.0,88.5,155.0
0,0,19.5,107.0,160.0
0,0,42.0,104.1,215.0
0,0,42.0,82.6,163.0
0,0,42.0,82.6,141.0
1,0,55.0,82.1,100.0
1,0,44.0,99.0,170.0
1,0,39.0,65.3,55.0
1,0,27.0,88.5,165.0
0,0,35.0,84.3,173.0
0,0,30.0,132.3,160.0
1,0,59.0,79.4,90.0
1,0,42.5,76.95,115.0
0,0,44.0,77.85,157.0
1,0,15.5,70.4,75.0
0,0,16.0,67.4,115.0
0,0,16.0,80.6,163.0
0,0,15.5,82.4,122.0
0,0,26.5,75.6,150.0
1,0,58.5,54.5,76.0
1,0,40.0,82.34,155.0
1,0,31.5,98.46,120.0
1,0,15.5,67.2,70.0
1,0,36.0,63.7,137.0
0,0,15.0,75.8,150.0
0,0,15.5,82.45,115.0
1,0,34.5,132.3,167.0
0,0,63.5,86.45,155.0
0,0,51.0,102.05,180.0
0,0,43.5,80.75,180.0
0,0,19.5,82.45,170.0
1,0,45.0,81.0,135.0
1,0,27.0,70.7,108.0
1,0,24.0,56.2,100.0
1,0,24.0,108.9,120.0
1,0,44.0,57.5,100.0
1,0,23.0,72.4,90.0
0,0,43.0,79.0,150.0
0,0,16.0,76.6,140.0
0,0,66.0,92.5,170.0
0,0,50.0,116.0,130.0
1,0,47.0,72.0,115.0
1,0,27.0,58.0,110.0
0,0,30.0,105.0,223.0
0,0,43.0,105.0,210.0
0,0,45.0,105.0,190.0
0,0,31.0,120.0,155.0
0,0,14.0,94.0,112.0
1,0,58.5,55.3,80.0
1,0,47.5,58.0,100.0
1,0,34.5,61.9,150.0
1,0,25.0,62.7,108.0
1,0,27.0,61.1,70.0
1,0,22.5,69.7,120.0
1,0,29.5,74.4,150.0
1,0,41.0,84.9,105.0
1,0,37.5,84.0,140.0
1,0,26.5,182.3,225.0
0,0,17.5,83.0,170.0
0,0,14.5,83.6,143.0
0,0,15.5,113.5,180.0
0,0,28.5,84.8,229.0
0,0,62.5,94.7,180.0
0,0,40.5,101.4,235.0
0,0,41.0,128.1,165.0
0,0,29.0,134.7,356.0
0,0,24.5,161.4,355.0
0,0,23.5,139.4,325.0
0,0,30.0,133.4,256.0
1,0,52.5,70.8,75.0
1,0,40.5,96.9,150.0
1,0,34.0,63.6,135.0
0,0,51.0,102.5,170.0
0,0,49.0,101.3,170.0
0,0,61.5,88.5,190.0
0,0,41.5,175.2,260.0
1,0,39.0,81.8,161.0
1,0,21.0,98.2,220.0
1,0,33.0,105.2,158.0
1,0,19.5,109.7,150.0
0,0,14.5,59.0,103.0
0,0,27.5,84.8,233.0
0,0,55.5,89.7,192.0
0,0,56.5,100.0,185.0
0,0,14.5,94.8,130.0
0,0,20.0,117.1,222.0
0,0,29.0,131.2,242.0
0,0,19.5,157.4,263.0
0,0,46.5,128.0,260.0
1,0,23.5,72.0,137.0
1,0,36.5,84.0,64.0
0,2,17.5,65.8,160.0
0,2,21.5,81.4,172.5
0,2,20.5,76.1,140.0
1,2,41.5,58.8,125.0
0,2,40.5,89.4,200.0
0,2,40.5,105.7,262.5
0,2,43.5,102.7,180.0
0,2,50.5,90.0,200.0
0,2,49.5,87.7,177.5
0,2,54.5,98.3,220.0
0,2,54.5,105.3,245.0
0,2,29.0,67.5,110.0
0,2,23.5,90.0,220.0
0,2,45.5,100.0,215.0
0,2,41.5,100.0,205.0
0,2,33.5,110.0,280.0
0,2,42.5,110.0,187.5
1,2,50.5,68.6,162.5
0,2,22.5,81.5,177.5
0,2,41.5,90.0,190.0
0,2,47.5,100.0,200.0
0,2,44.5,104.5,180.0
0,2,41.5,103.8,272.5
0,2,55.5,99.3,220.0
0,2,17.5,89.1,175.0
0,2,18.5,74.0,185.0
0,2,20.5,87.3,220.0
0,2,22.5,99.2,260.0
0,2,45.5,89.3,322.5
0,2,46.5,88.0,190.0
0,2,42.5,90.2,220.0
0,2,48.5,109.8,262.5
0,2,40.5,141.5,320.0
0,2,51.5,82.3,190.0
0,2,53.5,87.2,230.0
0,2,50.5,95.7,190.0
0,2,53.5,120.2,210.0
0,2,62.0,87.9,220.0
0,2,62.5,98.8,232.5
1,2,50.5,69.2,157.5
1,2,23.5,94.7,190.0
1,2,14.5,49.9,85.0
0,2,15.5,64.8,150.0
0,2,19.5,91.9,205.0
0,2,21.5,104.6,290.0
0,2,19.5,119.3,285.0
0,2,47.5,91.9,325.0
0,2,44.5,88.2,215.0
0,2,48.5,91.0,200.0
0,2,45.5,91.0,185.0
0,2,56.5,82.3,125.0
0,2,50.5,103.2,240.0
0,2,64.5,92.0,200.5
0,2,64.5,86.4,210.0
1,2,21.5,63.6,97.5
0,2,19.5,74.7,180.0
0,2,22.5,82.9,190.0
0,2,22.0,116.4,300.0
0,2,42.5,83.4,180.0
0,2,56.5,83.9,210.0
0,2,45.5,55.8,140.0
0,2,25.5,59.5,215.0
0,2,31.5,74.9,275.0
0,2,40.5,74.6,240.0
0,2,38.0,99.6,295.0
0,2,42.5,90.8,335.0
0,2,21.5,101.8,310.0
0,2,28.5,108.7,280.0
1,2,32.5,56.4,125.0
1,2,30.5,62.4,155.0
1,2,33.5,112.1,220.0
0,2,28.5,73.6,240.0
0,2,34.5,73.4,172.5
0,2,36.5,82.8,247.5
0,2,32.5,83.0,192.5
0,2,45.5,90.0,215.0
0,2,30.5,101.1,285.0
0,2,51.5,104.5,250.0
0,2,20.5,120.0,300.0
0,2,22.5,110.6,290.0
0,2,38.5,115.8,275.0
0,2,23.5,140.4,325.0
0,2,39.5,141.9,270.0
0,2,22.5,59.0,155.0
0,2,20.5,74.7,200.0
0,2,16.5,77.2,140.0
0,2,48.5,85.2,190.0
0,2,41.5,89.2,172.5
0,2,21.5,85.0,202.5
0,2,25.5,90.9,160.0
0,2,29.5,131.7,225.0
0,2,27.5,59.5,242.5
0,2,25.5,56.5,175.0
0,2,24.5,66.0,167.5
0,2,24.5,74.6,195.0
0,2,33.5,74.9,250.0
0,2,42.5,80.3,250.0
0,2,23.5,80.6,240.0
0,2,20.5,79.7,240.0
0,2,44.5,89.8,305.0
0,2,25.5,99.5,300.0
0,2,23.5,99.3,285.0
0,2,40.0,99.0,295.0
0,2,23.5,107.9,295.0
0,2,30.5,112.8,295.0
0,2,49.0,131.0,350.0
0,2,38.5,81.0,270.0
0,2,33.5,90.2,310.0
0,2,24.5,109.7,320.0
0,2,33.5,106.1,285.0
0,2,22.5,102.8,270.0
1,2,29.5,62.3,155.0
